P3HT,3.2
PCDTBT,3.6
PTB7,3.31
PTB7-Th(PCE10),3.66
PBDB-T,2.92
DTCPB,3.22
PBDB-TF(PM6),3.65
PBDB-TS-4Cl,3.79
PBDB-TS-3Cl,3.79
PTVT-V,3.1
PTVT-T,3.01
PTQ10,2.98
PB2,3.42
