1,-4.484,-1.941,1.76,0.317,0.024
2,-6.639,-3.305,2.3273,0.429,0.383
3,-4.55,-1.342,2.4066,0.641,0.004
4,-5.156,-2.377,1.8773,0.203,0.198
5,-6.479,-3.981,1.414,0.566,1.038
6,-5.291,-3.237,0.7634,1.429,0.984
7,-5.106,-2.196,1.9986,0.242,0.042
8,-4.799,-2.685,1.2623,0.46,1.176
9,-4.736,-2.14,1.8534,0.352,0.028
10,-4.791,-2.193,1.7816,0.436,0.007
11,-5.103,-2.776,1.7378,0.758,0.013
12,-5.139,-3.002,1.3348,0.63,1.155
13,-5.065,-2.31,1.8939,0.128,0.272
14,-4.976,-2.849,1.7682,0.343,0.56
15,-4.849,-2.577,1.087,1.192,1.688
16,-6.041,-3.582,1.7836,0.707,0.014
17,-5.433,-3.39,1.7357,0.51,0.152
18,-4.97,-2.52,1.1937,1.072,1.513
19,-5.031,-2.559,1.3543,1.221,1.581
20,-4.85,-2.379,1.732,0.301,0.677
21,-4.667,-2.973,0.6502,0.761,1.827
22,-5.356,-2.066,2.3656,0.128,0.083
23,-5.65,-2.929,1.6228,1.105,0.533
24,-5.276,-3.215,1.5294,0.613,1.146
25,-4.881,-2.927,0.7706,0.935,0.907
26,-5.001,-3.024,0.7965,0.781,0.825
27,-5.047,-3.046,0.7378,0.876,0.921
28,-5.427,-3.044,1.1576,1.227,1.811
29,-4.69,-2.903,0.7838,0.184,0.19
30,-4.943,-2.889,0.8522,0.011,0.019
31,-4.751,-2.743,0.8188,0.736,1.007
32,-4.906,-2.803,1.4413,0.214,0.922
33,-4.949,-2.797,0.8996,0.322,0.922
34,-5.514,-2.814,1.486,1.596,0
35,-5.203,-3.258,1.4427,0.473,0.971
36,-5.437,-3.363,1.3996,0.074,0.042
37,-4.901,-2.734,0.8877,1.066,1.077
38,-5.071,-2.734,1.2202,1.292,1.477
39,-4.776,-3.071,0.7142,0.288,0.39
40,-4.909,-2.9,0.7796,1.114,0.952
41,-5.844,-3.374,1.8387,0.715,0.035
42,-5.095,-2.415,1.3332,1.462,1.632
43,-5.782,-3.648,1.3227,1.071,0.385
44,-4.898,-3.004,0.8765,0.574,0.827
45,-4.802,-2.863,0.7767,0.829,0.821
46,-5.241,-3.03,1.5007,0.262,0.095
47,-4.87,-2.95,0.8702,0.208,0.193
48,-4.786,-2.973,0.7781,0.201,0.279
49,-4.678,-2.912,1.156,0.379,0.176
50,-5.808,-3.334,1.7515,0.46,1.494
51,-5.052,-2.745,1.2258,1.344,0
52,-5.405,-2.58,1.8213,0.021,0.805
53,-4.945,-2.868,0.827,1.062,0.932
54,-5.595,-2.89,1.6142,1.115,0.536
55,-5.342,-3.494,1.0657,0.896,1.259
56,-4.883,-2.498,1.7251,0.181,0.543
57,-4.945,-2.868,0.827,1.062,0.932
58,-5.243,-3.088,1.4968,0.278,0.049
59,-4.645,-2.984,0.7797,0.271,0.08
60,-4.839,-2.717,0.7549,1.278,1.428
61,-4.82,-2.793,0.8271,0.394,0.933
62,-5.772,-3.66,1.3057,0.868,0.51
63,-4.971,-3.237,0.758,0.802,0.493
64,-5.227,-3.173,1.4974,0.442,0.107
65,-4.995,-2.631,0.922,1.491,1.395
66,-4.819,-2.629,0.8853,1.102,1.171
67,-4.88,-2.95,0.8017,0.48,0.496
68,-5.311,-3.16,1.4877,0.545,0.195
69,-4.91,-2.73,1.463,0.225,1.064
70,-4.741,-2.906,0.7037,0.744,0.781
71,-4.791,-2.977,0.8194,0.157,0.275
72,-6.222,-0.81,3.5034,0.023,0.02
73,-4.815,-3.046,0.7315,0.188,0.243
74,-4.956,-2.923,0.8125,0.93,0.969
75,-4.97,-2.883,0.8347,0.002,0.01
76,-4.961,-3.023,1.4955,0.573,0.095
77,-5.014,-2.941,0.8233,1.067,0.918
78,-4.976,-3.039,1.3072,0.565,0.229
79,-5.191,-2.741,1.5721,0.448,0.598
80,-5.086,-2.967,1.3026,0.534,0.387
81,-4.813,-2.861,0.807,0.348,0.454
82,-5.41,-2.573,1.832,0.247,0.982
83,-5.056,-2.91,0.864,1.313,1.039
84,-4.985,-3.01,1.2401,0.384,0.278
85,-4.886,-2.915,0.8623,0.13,0.168
86,-5.334,-3.235,1.3714,0.746,0.304
87,-5.294,-3.146,1.42,0.736,0.322
88,-5.33,-3.239,1.3619,0.747,0.316
89,-4.849,-2.999,0.8234,0.189,0.217
90,-5.085,-3.137,1.4095,0.496,0.119
91,-4.819,-2.777,1.4208,0.195,0.869
92,-5.714,-3.52,1.4402,0.608,0.279
93,-5.136,-3.226,0.7346,1.115,0.754
94,-4.957,-2.864,0.8397,0.001,0.016
95,-4.927,-2.896,0.8474,0.021,0.018
96,-4.935,-2.829,0.9311,0.531,0.821
97,-4.798,-2.999,0.8157,0.278,0.33
98,-4.85,-3.126,0.7291,0.258,0.3
99,-4.974,-3.057,1.2994,0.437,0.238
100,-4.764,-2.823,1.3975,0.277,0.247
101,-5.027,-2.939,1.3306,0.276,0.62
102,-5.386,-3.274,1.316,0.414,1.093
103,-4.724,-3.04,1.0883,0.435,0.251
104,-5.139,-2.883,1.4424,0.06,0.001
105,-5.404,-3.366,1.5249,0.587,0.016
106,-5.279,-3.047,1.5408,0.277,0.072
107,-5.775,-3.639,1.3844,0.698,0.422
108,-5.087,-3.357,0.7377,0.702,0.381
109,-4.893,-3.027,0.7798,0.214,0.262
110,-4.668,-2.813,0.7844,0.114,0.075
111,-4.837,-2.897,1.2471,0.47,0.459
112,-5.464,-3.587,0.9295,0.812,0.616
113,-4.969,-2.823,0.8797,0.722,0.872
114,-5.782,-3.648,1.3227,1.071,0.385
